suburb,state,postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,dob,age,gender,weekends,profitable
CALAMVALE,QLD,4116,1,Acq,33.55,0,33.55,18/06/1939,76,0,2,0
Calamvale,QLD,4116,3,Acq,32,0,32,1/01/1960,55,1,2,0
CALAMVALE,QLD,4116,3,Acq,20,10,30,30/11/1946,69,0,2,0
Calamvale,QLD,4116,3,Acq,30,0,30,1/01/1959,56,0,2,0
Calamvale,QLD,4116,3,Acq,30,0,30,1/01/1959,56,1,2,0
Calamvale,QLD,4116,3,Renewals,30,0,30,18/07/1956,59,1,2,0
Calamvale,QLD,4116,3,Acq,29,0,29,na,,0,2,0
CALAMVALE,QLD,4116,3,Acq,27.25,0,27.25,na,,1,2,0
CALAMVALE,QLD,4116,1,Acq,25,0,25,na,,0,2,0
DREWVALE,QLD,4116,4,Acq,25,0,25,1/01/1946,69,1,2,0
CALAMVALE,QLD,4116,3,Acq,20,0,20,1/01/1970,45,0,2,0
Stretton,QLD,4116,3,Acq,20,0,20,1/01/1989,26,0,2,0
CALAMVALE,QLD,4116,3,Acq,11,0,11,1/01/1981,34,1,2,0
CALAMVALE,QLD,4116,3,Acq,10,0,10,28/05/1949,66,1,2,0
Calamvale,QLD,4116,3,Renewals,10,0,10,17/10/1950,65,0,2,0
Stretton,QLD,4116,3,Renewals,5,0,5,na,,1,2,0
BERRINBA,QLD,4117,3,Renewals,64.45,0,64.45,na,,0,2,0
Berrinba,QLD,4117,3,Acq,45.5,0,45.5,1/01/1984,31,1,2,0
Regents Park,QLD,4118,3,Acq,219.4,0,219.4,18/05/1941,74,0,2,1
REGENTS PARK,QLD,4118,1,Renewals,132.65,0,132.65,15/04/1960,55,0,2,1
Forestdale,QLD,4118,3,Acq,122.55,0,122.55,na,,0,2,1
Regents Park,QLD,4118,3,Acq,120,0,120,25/02/1958,57,1,2,1
Heritage Park,QLD,4118,4,Renewals,113.65,0,113.65,na,,0,2,1
FORESTDALE,QLD,4118,3,Acq,106,0,106,na,,1,2,1
REGENTS PARK,QLD,4118,4,Acq,101.1,0,101.1,25/10/1946,69,1,2,1
FORESTDALE,QLD,4118,3,Renewals,86,14,100,25/01/1949,66,1,2,1
REGENTS PARK,QLD,4118,3,Renewals,100,0,100,1/02/1965,50,1,2,1
HERITAGE PARK,QLD,4118,3,Acq,90.05,0,90.05,20/06/1973,42,1,2,1
HERITAGE PARK,QLD,4118,3,Renewals,85,0,85,7/09/1953,62,1,2,1
REGENTS PARK,QLD,4118,3,Renewals,74,0,74,na,,1,2,0
Browns Plains,QLD,4118,3,Acq,73,0,73,1/01/1965,50,1,2,0
Hillcrest,QLD,4118,1,Acq,70.5,0,70.5,1/01/1998,17,1,2,0
FORESTDALE,QLD,4118,3,Acq,70,0,70,28/04/1953,62,1,2,0
REGENTS PARK,QLD,4118,3,Renewals,70,0,70,1/01/1946,69,1,2,0
Hillcrest,QLD,4118,4,Renewals,69.85,0,69.85,14/04/1958,57,0,2,0
FORESTDALE,QLD,4118,4,Renewals,69,0,69,18/12/1932,83,0,2,0
Heritage Park,QLD,4118,3,Acq,65,0,65,1/01/1956,59,0,2,0
Forestdale,QLD,4118,4,Acq,60,0,60,14/06/1955,60,0,2,0
Hillcrest,QLD,4118,3,Acq,60,0,60,na,,0,2,0
Heritage Park,QLD,4118,3,Acq,54.15,0,54.15,na,,1,2,0
Forestdale,QLD,4118,4,Acq,54,0,54,1/09/1998,17,1,2,0
REGENTS PARK,QLD,4118,1,Acq,0,50,50,na,,1,2,0
Browns Plains,QLD,4118,3,Renewals,44.95,0,44.95,na,,1,2,0
HERITAGE PARK,QLD,4118,3,Acq,42,0,42,1/01/1941,74,1,2,0
HERITAGE PARK,QLD,4118,3,Acq,40,0,40,20/02/1937,78,0,2,0
BROWNS PLAINS,QLD,4118,3,Renewals,40,0,40,1/01/1990,25,1,2,0
HERITAGE PARK,QLD,4118,3,Renewals,39,0,39,21/10/1970,45,1,2,0
HERITAGE PARK,QLD,4118,3,Acq,36,0,36,na,,1,2,0
Regents Park,QLD,4118,3,Acq,35,0,35,na,,1,2,0
Regents Park,QLD,4118,3,Acq,34,0,34,22/10/1958,57,1,2,0
REGENTS PARK,QLD,4118,3,Renewals,33.55,0,33.55,na,,1,2,0
BROWNS PLAINS,QLD,4118,3,Acq,33,0,33,10/10/1973,42,0,2,0
Heritage Park,QLD,4118,3,Acq,31,0,31,8/10/1982,33,1,2,0
Browns Plains,QLD,4118,4,Acq,30,0,30,4/12/1975,40,1,2,0
Regents Park,QLD,4118,3,Acq,30,0,30,na,,0,2,0
HERITAGE PARK,QLD,4118,3,Acq,30,0,30,1/01/1965,50,1,2,0
Forestdale,QLD,4118,3,Renewals,30,0,30,26/08/1963,52,1,2,0
Browns Plains,QLD,4118,1,Acq,27,0,27,1/01/1971,44,1,2,0
Regents Park,QLD,4118,4,Renewals,25,0,25,14/11/1967,48,1,2,0
BROWNS PLAINS,QLD,4118,1,Acq,23,0,23,na,,0,2,0
Hillcrest,QLD,4118,1,Acq,21,0,21,na,,1,2,0
Heritage Park,QLD,4118,3,Renewals,21,0,21,22/07/1972,43,1,2,0
REGENTS PARK,QLD,4118,5,Acq,20,0,20,27/07/1993,22,1,2,0
Regents Park,QLD,4118,3,Acq,20,0,20,na,,1,2,0
Heritage Park,QLD,4118,3,Acq,20,0,20,1/01/1971,44,1,2,0
HERITAGE PARK,QLD,4118,3,Acq,20,0,20,na,,1,2,0
Forestdale,QLD,4118,4,Acq,20,0,20,na,,1,2,0
HILLCREST,QLD,4118,4,Renewals,20,0,20,20/02/1968,47,0,2,0
REGENTS PARK,QLD,4118,3,Acq,14.4,0,14.4,14/01/1967,48,0,2,0
HILLCREST,QLD,4118,4,Renewals,9,5,14,na,,1,2,0
FORESTDALE,QLD,4118,3,Acq,10,0,10,na,,1,2,0
Browns Plains,QLD,4118,3,Acq,8,0,8,4/12/1960,55,1,2,0
UNDERWOOD,QLD,4119,3,Renewals,142.95,0,142.95,1/01/1944,71,1,2,1
Underwood,QLD,4119,3,Acq,119,0,119,na,,1,2,1
UNDERWOOD,QLD,4119,3,Renewals,115,0,115,2/06/1948,67,1,2,1
Underwood,QLD,4119,3,Renewals,97.55,0,97.55,1/01/1953,62,0,2,1
UNDERWOOD,QLD,4119,3,Renewals,95.1,0,95.1,na,,1,2,1
UNDERWOOD,QLD,4119,5,Acq,56.9,5,61.9,na,,1,2,0
Underwood,QLD,4119,1,Acq,51,0,51,1/01/1943,72,1,2,0
Underwood,QLD,4119,4,Renewals,51,0,51,na,,1,2,0
Underwood,QLD,4119,3,Acq,50,0,50,1/01/1946,69,1,2,0
Underwood,QLD,4119,4,Acq,33.7,0,33.7,na,,1,2,0
Underwood,QLD,4119,3,Acq,0,20,20,na,,1,2,0
Stones Corner,QLD,4120,5,Renewals,124.65,0,124.65,9/05/1975,40,1,2,1
Greenslopes,QLD,4120,3,Acq,100,0,100,1/01/1967,48,1,2,1
GREENSLOPES,QLD,4120,1,Acq,81.4,0,81.4,na,,1,2,1
GREENSLOPES,QLD,4120,3,Acq,81.2,0,81.2,24/02/1957,58,1,2,1
Greenslopes,QLD,4120,3,Renewals,70.6,0,70.6,16/02/1942,73,0,2,0
Greenslopes,QLD,4120,3,Acq,69.7,0,69.7,1/01/1979,36,1,2,0
Greenslopes,QLD,4120,1,Acq,22,40,62,17/06/1967,48,1,2,0
GREENSLOPES,QLD,4120,1,Acq,50,0,50,na,,0,2,0
GREENSLOPES,QLD,4120,5,Renewals,49,0,49,7/06/1977,38,1,2,0
Greenslopes,QLD,4120,5,Renewals,25,15,40,22/06/1948,67,0,2,0
GREENSLOPES,QLD,4120,3,Renewals,30,0,30,25/09/1975,40,1,2,0
STONES CORNER,QLD,4120,3,Acq,0,25,25,1/01/1943,72,0,2,0
Greenslopes,QLD,4120,3,Renewals,0,20,20,9/05/1958,57,1,2,0
Tarragindi,QLD,4121,3,Acq,200,0,200,na,,0,2,1
Holland Park,QLD,4121,1,Acq,164.95,0,164.95,1/01/1963,52,0,2,1
TARRAGINDI,QLD,4121,3,Renewals,160,0,160,1/01/1943,72,0,2,1
TARRAGINDI,QLD,4121,1,Acq,154,0,154,2/05/1931,84,0,2,1
TARRAGINDI,QLD,4121,3,Renewals,53,100,153,na,,0,2,1
TARRAGINDI,QLD,4121,3,Acq,152,0,152,1/01/1941,74,1,2,1
Tarragindi,QLD,4121,3,Acq,150,0,150,24/01/1944,71,0,2,1
TARRAGINDI,QLD,4121,3,Renewals,150,0,150,na,,1,2,1
HOLLAND PARK EAST,QLD,4121,4,Acq,143.45,0,143.45,1/02/1937,78,1,2,1
TARRAGINDI,QLD,4121,3,Acq,141,0,141,na,,1,2,1
TARRAGINDI,QLD,4121,4,Renewals,138,0,138,na,,1,2,1
HOLLAND PARK WEST,QLD,4121,2,Acq,86,50,136,8/11/1969,46,1,2,1
Tarragindi,QLD,4121,3,Acq,125,0,125,na,,1,2,1
Holland Park West,QLD,4121,3,Acq,113,0,113,na,,1,2,1
Tarragindi,QLD,4121,4,Acq,100,0,100,1/01/1939,76,0,2,1
TARRAGINDI,QLD,4121,3,Acq,100,0,100,na,,0,2,1
HOLLAND PARK,QLD,4121,3,Renewals,100,0,100,na,,1,2,1
TARRAGINDI,QLD,4121,3,Renewals,100,0,100,9/12/1943,72,1,2,1
TARRAGINDI,QLD,4121,3,Renewals,100,0,100,na,,1,2,1
TARRAGINDI,QLD,4121,1,Acq,91,0,91,na,,1,2,1
Holland Park West,QLD,4121,3,Renewals,90,0,90,2/06/1964,51,1,2,1
Holland Park,QLD,4121,4,Acq,89,0,89,1/01/1943,72,0,2,1
HOLLAND PARK WEST,QLD,4121,5,Acq,86.35,0,86.35,22/12/1970,45,1,2,1
Tarragindi,QLD,4121,3,Acq,35,50,85,7/09/1962,53,1,2,1
HOLLAND PARK,QLD,4121,3,Acq,84,0,84,na,,1,2,1
HOLLAND PARK,QLD,4121,3,Renewals,67,13,80,na,,0,2,1
Tarragindi,QLD,4121,3,Acq,77,0,77,na,,1,2,1
Holland Park,QLD,4121,4,Acq,72,0,72,na,,0,2,0
HOLLAND PARK,QLD,4121,1,Acq,69.4,0,69.4,na,,1,2,0
TARRAGINDI,QLD,4121,3,Acq,68.7,0,68.7,1/01/1949,66,1,2,0
TARRAGINDI,QLD,4121,3,Acq,66.35,0,66.35,na,,0,2,0
Tarragindi,QLD,4121,3,Acq,65,0,65,1/01/1971,44,1,2,0
TARRAGINDI,QLD,4121,3,Renewals,25,40,65,5/01/1955,60,1,2,0
Holland Park,QLD,4121,3,Acq,64,0,64,11/01/1995,20,0,2,0
HOLLAND PARK,QLD,4121,3,Renewals,63,0,63,na,,0,2,0
Holland Park,QLD,4121,1,Acq,60,0,60,17/11/1953,62,0,2,0
Holland Park West,QLD,4121,3,Acq,60,0,60,12/11/1938,77,1,2,0
TARRAGINDI,QLD,4121,3,Renewals,60,0,60,na,,1,2,0
Tarragindi,QLD,4121,3,Acq,56,0,56,1/01/1938,77,1,2,0
Holland Park West,QLD,4121,3,Acq,52.6,0,52.6,na,,1,2,0
TARRAGINDI,QLD,4121,5,Renewals,52.55,0,52.55,1/08/1969,46,1,2,0
HOLLAND PARK,QLD,4121,3,Acq,50,0,50,6/06/1963,52,0,2,0
HOLLAND PARK,QLD,4121,3,Acq,50,0,50,14/06/1977,38,1,2,0
Tarragindi,QLD,4121,3,Acq,50,0,50,14/01/1969,46,1,2,0
TARRAGINDI,QLD,4121,3,Renewals,50,0,50,29/04/1941,74,1,2,0
WELLERS HILL,QLD,4121,3,Renewals,50,0,50,na,,1,2,0
HOLLAND PARK,QLD,4121,3,Acq,49,0,49,27/08/1952,63,0,2,0
TARRAGINDI,QLD,4121,3,Renewals,48,0,48,13/03/1997,18,1,2,0
Tarragindi,QLD,4121,3,Acq,44.5,0,44.5,1/01/1973,42,0,2,0
Tarragindi,QLD,4121,3,Acq,42,0,42,na,,1,2,0
Holland Park,QLD,4121,3,Acq,41,0,41,na,,0,2,0
TARRAGINDI,QLD,4121,3,Acq,40,0,40,1/01/1982,33,1,2,0
HOLLAND PARK WEST,QLD,4121,3,Acq,40,0,40,1/01/1982,33,1,2,0
TARRAGINDI,QLD,4121,3,Renewals,40,0,40,na,,1,2,0
Tarragindi,QLD,4121,3,Acq,37,0,37,1/01/1951,64,0,2,0
Holland Park West,QLD,4121,3,Renewals,36,0,36,na,,1,2,0
HOLLAND PARK,QLD,4121,3,Renewals,35,0,35,18/10/1966,49,0,2,0
TARRAGINDI,QLD,4121,3,Renewals,34,0,34,28/01/1967,48,0,2,0
HOLLAND PARK,QLD,4121,3,Renewals,31.55,0,31.55,27/07/1972,43,1,2,0
WELLERS HILL,QLD,4121,4,Acq,20,10,30,1/01/1942,73,1,2,0
HOLLAND PARK,QLD,4121,1,Acq,26,0,26,1/01/1952,63,0,2,0
HOLLAND PARK,QLD,4121,3,Acq,25,0,25,na,,1,2,0
HOLLAND PARK WEST,QLD,4121,3,Acq,23,0,23,1/01/1967,48,0,2,0
Holland Park West,QLD,4121,3,Acq,22,0,22,23/02/1989,26,0,2,0
WISHART,QLD,4122,5,Renewals,209,0,209,28/04/1954,61,1,2,1
MANSFIELD,QLD,4122,5,Renewals,187.15,0,187.15,22/08/1961,54,0,2,1
UPPER MOUNT GRAVATT BC,QLD,4122,5,Renewals,180,0,180,21/08/1945,70,0,2,1
MOUNT GRAVATT,QLD,4122,3,Renewals,164.45,0,164.45,na,,1,2,1
MOUNT GRAVATT EAST,QLD,4122,3,Acq,160.5,0,160.5,19/04/1941,74,1,2,1
WISHART,QLD,4122,3,Acq,160,0,160,11/02/1953,62,1,2,1
MANSFIELD,QLD,4122,1,Acq,154,0,154,20/01/1960,55,1,2,1
UPPER MOUNT GRAVATT,QLD,4122,4,Renewals,151.1,0,151.1,28/10/1937,78,1,2,1
Mt Gravatt,QLD,4122,3,Acq,125,0,125,1/01/1933,82,0,2,1
Upper Mt Gravatt,QLD,4122,3,Acq,125,0,125,25/08/1995,20,1,2,1
Mt Gravatt East,QLD,4122,3,Acq,123.35,0,123.35,22/12/1979,36,0,2,1
WISHART,QLD,4122,3,Renewals,120.6,0,120.6,12/02/1946,69,0,2,1
WISHART,QLD,4122,3,Renewals,118,0,118,21/07/1944,71,1,2,1
WISHART,QLD,4122,3,Renewals,116.2,0,116.2,12/05/1961,54,1,2,1
Wishart,QLD,4122,3,Acq,111,0,111,1/01/1935,80,1,2,1
MOUNT GRAVATT EAST,QLD,4122,3,Renewals,110,0,110,19/03/1955,60,1,2,1
WISHART,QLD,4122,4,Renewals,105.4,0,105.4,2/04/1953,62,0,2,1
Mansfield,QLD,4122,1,Acq,101,0,101,na,,0,2,1
MANSFIELD,QLD,4122,4,Acq,100.5,0,100.5,1/01/1960,55,1,2,1
MANSFIELD,QLD,4122,3,Acq,69,31,100,na,,1,2,1
UPPER MOUNT GRAVATT,QLD,4122,4,Renewals,100,0,100,3/11/1946,69,1,2,1
Wishart,QLD,4122,3,Renewals,100,0,100,na,,0,2,1
Mansfield,QLD,4122,3,Renewals,47,50,97,na,,1,2,1
WISHART,QLD,4122,3,Renewals,96.5,0,96.5,1/01/1946,69,1,2,1
WISHART,QLD,4122,3,Acq,96,0,96,1/01/1976,39,1,2,1
MOUNT GRAVATT,QLD,4122,1,Acq,95,0,95,na,,1,2,1
Wishart,QLD,4122,3,Renewals,95,0,95,27/02/1948,67,1,2,1
Upper Mt Gravatt,QLD,4122,3,Acq,93,0,93,na,,0,2,1
MOUNT GRAVATT,QLD,4122,3,Acq,89.65,0,89.65,29/06/1945,70,0,2,1
Wishart,QLD,4122,3,Acq,89,0,89,2/02/1946,69,1,2,1
UPPER MOUNT GRAVATT,QLD,4122,3,Renewals,87,0,87,na,,1,2,1
WISHART,QLD,4122,3,Renewals,83,0,83,9/05/1944,71,1,2,1
Mt Gravatt,QLD,4122,1,Acq,82,0,82,1/01/1946,69,0,2,1
UPPER MOUNT GRAVATT BC,QLD,4122,3,Renewals,82,0,82,na,,0,2,1
Mt Gravatt,QLD,4122,3,Acq,81.95,0,81.95,1/01/1967,48,1,2,1
WISHART,QLD,4122,3,Acq,80,0,80,17/01/1953,62,1,2,1
Wishart,QLD,4122,3,Acq,79,0,79,18/11/1993,22,1,2,1
MANSFIELD,QLD,4122,3,Renewals,78,0,78,na,,1,2,1
Mansfield,QLD,4122,3,Acq,76.2,0,76.2,3/04/1970,45,1,2,1
Wishart,QLD,4122,1,Renewals,76,0,76,na,,0,2,1
MANSFIELD,QLD,4122,3,Acq,75,0,75,na,,1,2,0
Wishart,QLD,4122,3,Renewals,75,0,75,29/09/1971,44,0,2,0
Mt Gravatt East,QLD,4122,3,Acq,72.8,0,72.8,1/01/1934,81,0,2,0
UPPER MOUNT GRAVATT BC,QLD,4122,3,Acq,70,0,70,na,,1,2,0
Mt Gravatt,QLD,4122,3,Acq,70,0,70,na,,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,4,Acq,70,0,70,na,,1,2,0
WISHART,QLD,4122,5,Renewals,70,0,70,4/01/1937,78,1,2,0
WISHART,QLD,4122,4,Renewals,70,0,70,na,,1,2,0
Wishart,QLD,4122,3,Renewals,70,0,70,na,,1,2,0
MANSFIELD,QLD,4122,3,Acq,69.2,0,69.2,7/01/1948,67,1,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Renewals,67,0,67,24/05/1955,60,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,66,0,66,21/10/1953,62,0,2,0
Mansfield,QLD,4122,3,Acq,60.8,5,65.8,16/06/1967,48,1,2,0
Mansfield,QLD,4122,3,Acq,60.8,5,65.8,16/06/1967,48,1,2,0
Wishart,QLD,4122,3,Renewals,65,0,65,22/06/1941,74,1,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Renewals,64.4,0,64.4,na,,1,2,0
WISHART,QLD,4122,3,Acq,62,0,62,22/11/1996,19,1,2,0
WISHART,QLD,4122,3,Renewals,61,0,61,na,,1,2,0
MANSFIELD,QLD,4122,3,Acq,60,0,60,na,,0,2,0
Mt Gravatt East,QLD,4122,3,Acq,60,0,60,4/01/1979,36,0,2,0
Mt Gravatt East,QLD,4122,3,Acq,60,0,60,15/10/1986,29,1,2,0
Wishart,QLD,4122,3,Acq,60,0,60,23/07/1934,81,0,2,0
WISHART,QLD,4122,4,Acq,37,23,60,9/08/1955,60,1,2,0
WISHART,QLD,4122,3,Renewals,60,0,60,9/04/1950,65,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,1,Acq,58.95,0,58.95,23/01/1968,47,0,2,0
MANSFIELD DC,QLD,4122,3,Acq,58,0,58,1/01/1971,44,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,56,0,56,12/08/1992,23,1,2,0
Mansfield,QLD,4122,3,Acq,56,0,56,na,,1,2,0
Upper Mt Gravatt,QLD,4122,3,Acq,56,0,56,11/07/1944,71,0,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Renewals,55,0,55,29/04/1962,53,0,2,0
Mt Gravatt East,QLD,4122,1,Acq,54.1,0,54.1,1/01/1968,47,1,2,0
MOUNT GRAVATT EAST,QLD,4122,4,Acq,54,0,54,1/01/1964,51,0,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,52,0,52,17/11/1946,69,0,2,0
Wishart,QLD,4122,3,Acq,52,0,52,na,,1,2,0
Mansfield,QLD,4122,3,Renewals,51.2,0,51.2,15/11/1956,59,1,2,0
Wishart,QLD,4122,3,Acq,51.1,0,51.1,na,,1,2,0
Wishart,QLD,4122,3,Acq,50,0,50,na,,1,2,0
Mt Gravatt East,QLD,4122,3,Acq,0,50,50,1/01/1956,59,0,2,0
Mansfield,QLD,4122,3,Acq,50,0,50,1/01/1950,65,1,2,0
Mansfield,QLD,4122,5,Acq,20,30,50,11/07/1968,47,1,2,0
Wishart,QLD,4122,3,Acq,50,0,50,na,,1,2,0
Wishart,QLD,4122,3,Acq,50,0,50,7/01/1963,52,1,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Acq,50,0,50,na,,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Renewals,50,0,50,na,,1,2,0
WISHART,QLD,4122,3,Renewals,50,0,50,na,,1,2,0
WISHART,QLD,4122,6,Renewals,50,0,50,19/03/1942,73,1,2,0
Upper Mt Gravatt,QLD,4122,3,Renewals,50,0,50,21/01/1944,71,1,2,0
Wishart,QLD,4122,4,Acq,49.7,0,49.7,25/05/1937,78,0,2,0
MANSFIELD,QLD,4122,1,Acq,48,0,48,14/12/1961,54,1,2,0
Mansfield,QLD,4122,6,Renewals,46,0,46,na,,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,45,0,45,1/06/1946,69,1,2,0
Mansfield,QLD,4122,1,Acq,45,0,45,1/01/1993,22,0,2,0
MANSFIELD,QLD,4122,4,Renewals,45,0,45,17/06/1947,68,1,2,0
WISHART,QLD,4122,3,Acq,44,0,44,1/01/1945,70,1,2,0
Wishart,QLD,4122,3,Acq,43,0,43,na,,1,2,0
MANSFIELD,QLD,4122,3,Acq,41,0,41,1/01/1997,18,1,2,0
Wishart,QLD,4122,3,Acq,40.6,0,40.6,28/02/1973,42,1,2,0
MOUNT GRAVATT,QLD,4122,3,Acq,40,0,40,na,,0,2,0
MANSFIELD BC,QLD,4122,5,Renewals,40,0,40,29/10/1948,67,1,2,0
Wishart,QLD,4122,3,Renewals,20,20,40,1/01/1952,63,0,2,0
WISHART,QLD,4122,3,Renewals,37.5,0,37.5,21/06/1976,39,1,2,0
Mansfield,QLD,4122,3,Acq,37.1,0,37.1,na,,1,2,0
Mansfield,QLD,4122,1,Acq,37,0,37,na,,1,2,0
Wishart,QLD,4122,3,Acq,36,0,36,1/01/1956,59,0,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Renewals,36,0,36,na,,0,2,0
Mansfield,QLD,4122,3,Acq,35,0,35,2/10/1974,41,1,2,0
Mansfield,QLD,4122,3,Acq,35,0,35,1/01/1965,50,0,2,0
MANSFIELD,QLD,4122,3,Acq,34,0,34,na,,0,2,0
Mt Gravatt East,QLD,4122,3,Acq,33,0,33,3/10/1965,50,0,2,0
Upper Mt Gravatt,QLD,4122,3,Acq,32.7,0,32.7,1/10/1931,84,1,2,0
Mt Gravatt East,QLD,4122,3,Acq,31.5,0,31.5,1/01/1995,20,1,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Renewals,31.2,0,31.2,na,,1,2,0
MOUNT GRAVATT,QLD,4122,1,Acq,30,0,30,1/01/1951,64,1,2,0
MANSFIELD,QLD,4122,4,Renewals,30,0,30,30/05/1980,35,0,2,0
MOUNT GRAVATT,QLD,4122,3,Renewals,30,0,30,na,,1,2,0
WISHART,QLD,4122,1,Acq,29,0,29,26/11/1961,54,1,2,0
Mt Gravatt East,QLD,4122,3,Acq,29,0,29,na,,1,2,0
UPPER MOUNT GRAVATT BC,QLD,4122,3,Renewals,28,0,28,1/04/1988,27,1,2,0
Upper Mt Gravatt,QLD,4122,1,Acq,26,0,26,1/01/1937,78,1,2,0
MANSFIELD,QLD,4122,3,Acq,25,0,25,na,,1,2,0
Wishart,QLD,4122,3,Renewals,25,0,25,26/10/1956,59,1,2,0
Mt Gravatt East,QLD,4122,3,Acq,24,0,24,1/01/1939,76,1,2,0
UPPER MOUNT GRAVATT BC,QLD,4122,1,Renewals,22.2,0,22.2,na,,1,2,0
Mt Gravatt,QLD,4122,4,Acq,22,0,22,na,,0,2,0
WISHART,QLD,4122,3,Renewals,21.9,0,21.9,6/07/1940,75,1,2,0
MOUNT GRAVATT EAST,QLD,4122,3,Acq,21,0,21,na,,1,2,0
MOUNT GRAVATT,QLD,4122,3,Acq,20,0,20,15/07/1943,72,1,2,0
WISHART,QLD,4122,3,Acq,20,0,20,22/01/1968,47,1,2,0
Mansfield,QLD,4122,3,Acq,20,0,20,na,,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,20,0,20,1/01/1955,60,1,2,0
Mt Gravatt,QLD,4122,3,Renewals,20,0,20,na,,0,2,0
Wishart,QLD,4122,1,Renewals,20,0,20,na,,0,2,0
Upper Mt Gravatt,QLD,4122,3,Acq,19,0,19,29/01/1955,60,0,2,0
Wishart,QLD,4122,3,Acq,19,0,19,1/01/1960,55,1,2,0
Mt Gravatt,QLD,4122,1,Acq,0,10,10,1/01/1951,64,1,2,0
UPPER MOUNT GRAVATT,QLD,4122,3,Acq,5,0,5,1/01/1976,39,1,2,0
Mansfield,QLD,4122,3,Acq,-60.8,-5,-65.8,16/06/1967,48,1,2,0
Rochedale South,QLD,4123,3,Acq,250,0,250,na,,0,2,1
ROCHEDALE SOUTH,QLD,4123,4,Renewals,207,0,207,na,,1,2,1
ROCHEDALE SOUTH,QLD,4123,4,Acq,150,0,150,29/04/1949,66,1,2,1
Rochedale South,QLD,4123,3,Acq,137.75,0,137.75,10/02/1944,71,0,2,1
Rochedale South,QLD,4123,3,Renewals,100.7,0,100.7,13/03/1947,68,0,2,1
ROCHEDALE SOUTH,QLD,4123,3,Acq,100,0,100,1/01/1954,61,1,2,1
ROCHEDALE SOUTH,QLD,4123,3,Acq,100,0,100,1/01/1955,60,1,2,1
ROCHEDALE SOUTH,QLD,4123,3,Renewals,100,0,100,12/11/1956,59,0,2,1
ROCHEDALE SOUTH,QLD,4123,3,Acq,98.5,0,98.5,na,,1,2,1
ROCHEDALE SOUTH,QLD,4123,3,Acq,90.45,0,90.45,21/08/1974,41,1,2,1
Rochedale South,QLD,4123,3,Renewals,90,0,90,na,,1,2,1
ROCHEDALE SOUTH,QLD,4123,4,Renewals,87.1,0,87.1,17/11/1946,69,0,2,1
ROCHEDALE SOUTH,QLD,4123,3,Acq,87,0,87,1/01/1950,65,1,2,1
Rochedale South,QLD,4123,3,Acq,81.75,0,81.75,5/03/1950,65,0,2,1
ROCHEDALE SOUTH,QLD,4123,3,Renewals,76,0,76,21/09/1936,79,0,2,1
Rochedale South,QLD,4123,3,Acq,75,0,75,1/01/1953,62,1,2,0
ROCHEDALE SOUTH,QLD,4123,3,Renewals,70.1,0,70.1,9/10/1962,53,1,2,0
Rochedale South,QLD,4123,3,Acq,65,0,65,1/01/1965,50,1,2,0
Rochedale South,QLD,4123,3,Acq,65,0,65,na,,1,2,0
ROCHEDALE SOUTH,QLD,4123,3,Acq,60,0,60,17/10/1943,72,1,2,0
Rochedale South,QLD,4123,3,Acq,57,0,57,15/01/1956,59,1,2,0
ROCHEDALE SOUTH,QLD,4123,4,Renewals,56.4,0,56.4,1/01/1953,62,1,2,0
Rochedale South,QLD,4123,3,Renewals,53,0,53,na,,1,2,0
ROCHEDALE SOUTH,QLD,4123,3,Acq,52.3,0,52.3,na,,1,2,0
ROCHEDALE SOUTH,QLD,4123,5,Acq,0,50,50,24/04/1950,65,1,2,0
ROCHEDALE SOUTH,QLD,4123,1,Acq,50,0,50,na,,1,2,0
Rochedale South,QLD,4123,4,Acq,50,0,50,na,,0,2,0
Rochedale South,QLD,4123,3,Renewals,50,0,50,24/06/1938,77,0,2,0
ROCHEDALE SOUTH,QLD,4123,3,Renewals,50,0,50,17/04/1942,73,0,2,0
Rochedale South,QLD,4123,3,Acq,45.4,0,45.4,31/12/1941,74,0,2,0
ROCHEDALE SOUTH,QLD,4123,3,Renewals,43.5,0,43.5,na,,1,2,0
Rochedale South,QLD,4123,4,Acq,42,0,42,na,,1,2,0
ROCHEDALE SOUTH,QLD,4123,3,Acq,42,0,42,10/12/1972,43,1,2,0
ROCHEDALE SOUTH,QLD,4123,4,Renewals,35,0,35,2/02/1949,66,1,2,0
Rochedale South,QLD,4123,3,Acq,33.45,0,33.45,6/04/1974,41,1,2,0
